serial_nr;guid
46336;1
44845;1
15929;1
20042;1
48505;1
3705;1
47658;1
21320;1
34787;1
47039;1
43723;1
4227;1
18904;1
32785;1
13598;1
25044;1
36636;1
49494;1
8921;1
32526;1
23952;1
22516;1
25743;1
3022;1
6344;1
45363;1
28699;1
45493;1
31061;1
32986;1
24567;1
46089;1
45681;1
18167;1
12839;1
9117;1
10149;1
28586;1
30753;1
10385;1
39725;1
39432;1
43768;1
12951;1
9815;1
10554;1
33320;1
44530;1
37847;1
49770;1
33264;1
44473;1
31851;1
6240;1
22994;1
12507;1
32353;1
38830;1
14446;1
47155;1
39545;1
31855;1
40209;1
23707;1
42149;1
35405;1
23519;1
19243;1
19331;1
29903;1
6782;1
7737;1
32477;1
15129;1
8840;1
24566;1
12208;1
10883;1
22678;1
41654;1
42081;1
32979;1
5306;1
16238;1
16981;1
37171;1
20939;1
19343;1
35280;1
45861;1
23087;1
26761;1
41890;1
13232;1
18339;1
15300;1
40327;1
19146;1
16951;1
27099;1
9818;1
12980;1
13073;1
9459;1
28289;1
36328;1
5353;1
43398;1
22008;1
3413;1
5290;1
38485;1
38108;1
6422;1
2002;1
41494;1
8674;1
16075;1
3887;1
953;1
12995;1
24507;1
29462;1
35332;1
10236;1
26066;1
7226;1
9754;1
32112;1
31714;1
46429;1
42017;1
46035;1
24086;1
17681;1
43383;1
10567;1
6020;1
6998;1
44614;1
21535;1
7650;1
21234;1
2528;1
37612;1
39770;1
40182;1
37644;1
34573;1
31538;1
13420;1
20646;1
37806;1
13501;1
30806;1
47941;1
9996;1
22897;1
39022;1
48133;1
3952;1
7903;1
15530;1
45069;1
1519;1
47302;1
20281;1
14181;1
38782;1
41219;1
36386;1
16546;1
39248;1
10386;1
45162;1
37259;1
7577;1
46627;1
38002;1
36675;1
19224;1
11374;1
48096;1
23215;1
34484;1
14888;1
14148;1
3792;1
15580;1
4785;1
31996;1
44663;1
28529;1
49631;1
22543;1
20333;1
50165;1
46690;1
37954;1
45517;1
39353;1
7574;1
4069;1
17975;1
1062;1
27456;1
32029;1
35796;1
7208;1
31616;1
24712;1
1396;1
43385;1
4821;1
15308;1
38063;1
14711;1
28278;1
3043;1
25611;1
39354;1
37628;1
2389;1
45548;1
16076;1
40913;1
50221;1
20972;1
28669;1
14299;1
46219;1
50239;1
40455;1
29630;1
773;1
3247;1
13610;1
41869;1
12814;1
26593;1
12276;1
38550;1
18784;1
15144;1
16586;1
37532;1
40076;1
31872;1
4074;1
38520;1
38293;1
46759;1
29622;1
5872;1
44712;1
6358;1
31150;1
38319;1
25834;1
24963;1
6636;1
10551;1
26813;1
35969;1
27268;1
45878;1
8280;1
23314;1
9129;1
38366;1
22666;1
1678;1
6081;1
1594;1
22652;1
26632;1
7137;1
30556;1
13182;1
44792;1
9010;1
48382;1
18078;1
20792;1
39103;1
38618;1
9236;1
18220;1
10367;1
39479;1
20401;1
32797;1
36093;1
21393;1
2784;1
32983;1
46812;1
23089;1
7806;1
43728;1
19734;1
1856;1
18678;1
40265;1
32381;1
1373;1
18433;1
31350;1
34216;1
49577;1
19391;1
39638;1
16278;1
37491;1
20282;1
10518;1
49002;1
15235;1
39732;1
8263;1
22223;1
25542;1
23282;1
9534;1
12852;1
39577;1
14583;1
2926;1
35878;1
9453;1
30857;1
48573;1
40923;1
19284;1
40959;1
6776;1
44756;1
15833;1
14095;1
36341;1
27922;1
14197;1
16086;1
23392;1
14878;1
30128;1
43534;1
26817;1
20529;1
26756;1
32410;1
18562;1
30537;1
22431;1
32604;1
37381;1
8602;1
47085;1
3896;1
36739;1
768;1
9874;1
37458;1
48464;1
33693;1
5824;1
34986;1
7445;1
16615;1
47558;1
41503;1
23584;1
33996;1
46040;1
21281;1
43041;1
38548;1
31011;1
33561;1
19700;1
5672;1
25487;1
35030;1
14566;1
4633;1
21521;1
13807;1
50007;1
39500;1
42609;1
4293;1
34888;1
41303;1
46980;1
39144;1
5400;1
48240;1
34839;1
28126;1
14646;1
24849;1
21284;1
46363;1
11478;1
2098;1
9475;1
13777;1
15368;1
43088;1
11208;1
9347;1
21707;1
23641;1
31608;1
43128;1
25614;1
13240;1
31390;1
6105;1
12961;1
9663;1
17427;1
37897;1
49389;1
3973;1
43596;1
14359;1
22531;1
1815;1
21409;1
7539;1
27349;1
47484;1
18263;1
12111;1
1787;1
47261;1
43976;1
741;1
49195;1
37618;1
4934;1
28037;1
18941;1
1128;1
29649;1
47181;1
46791;1
28990;1
10891;1
9811;1
43298;1
35713;1
43022;1
3168;1
30147;1
1318;1
20016;1
47503;1
39667;1
27799;1
43541;1
33419;1
19218;1
37047;1
25500;1
31174;1
7027;1
40981;1
37292;1
43891;1
10491;1
27535;1
8635;1
42312;1
39189;1
29264;1
3291;1
33967;1
42327;1
31316;1
20638;1
31450;1
43420;1
24606;1
40471;1
13791;1
11188;1
39946;1
12832;1
43177;1
15900;1
24982;1
16146;1
4072;1
44609;1
10228;1
44804;1
19633;1
31120;1
30506;1
22493;1
19384;1
34283;1
17638;1
8169;1
48897;1
25760;1
42469;1
23653;1
37378;1
12270;1
25041;1
43415;1
32355;1
17764;1
21249;1
16515;1
31439;1
9600;1
20158;1
14208;1
1432;1
44416;1
15215;1
7266;1
8539;1
15338;1
23168;1
9238;1
2479;1
1530;1
24214;1
36560;1
203;1
6966;1
4808;1
39335;1
25374;1
38875;1
8384;1
30516;1
36599;1
43170;1
9760;1
25864;1
15959;1
19411;1
28593;1
