specification_id;kv2;supplier;type_cost
5035;KV2000000001;Lineage Logistics;200.99
5036;KV2000000002;Ryder Supply Chain Solutions;50.0
5037;KV2000000003;GXO Logistics;50.99
5038;KV2000000004;GXO Logistics;150.0
5039;KV2000000005;EODIS North America;0.0
5040;KV2000000006;Americold;100.99
5041;KV2000000007;Ryder Supply Chain Solutions;50.0
5042;KV2000000008;Americold;100.99
5043;KV2000000009;Americold;150.99
5044;KV2000000010;FedEx Supply Chain;350.0
5045;KV2000000011;FedEx Supply Chain;150.99
5046;KV2000000012;EODIS North America;250.0
5047;KV2000000013;Kenco Logistic Services LLC;200.0
5048;KV2000000014;Ryder Supply Chain Solutions;300.0
5049;KV2000000015;DHL Supply Chain;300.0
5050;KV2000000016;Ryder Supply Chain Solutions;450.0
5051;KV2000000017;Kenco Logistic Services LLC;400.99
5052;KV2000000018;EODIS North America;250.0
5053;KV2000000019;Americold;350.0
5054;KV2000000020;EODIS North America;400.0
5055;KV2000000021;Ryder Supply Chain Solutions;250.99
5056;KV2000000022;Ryder Supply Chain Solutions;100.99
5057;KV2000000023;EODIS North America;450.99
5058;KV2000000024;DHL Supply Chain;150.0
5059;KV2000000025;EODIS North America;450.0
5060;KV2000000026;FedEx Supply Chain;200.0
5061;KV2000000027;DHL Supply Chain;100.0
5062;KV2000000028;Kenco Logistic Services LLC;400.0
5063;KV2000000029;GXO Logistics;450.0
5064;KV2000000030;GXO Logistics;400.99
5065;KV2000000031;GXO Logistics;50.0
5066;KV2000000032;FedEx Supply Chain;100.0
5067;KV2000000033;GXO Logistics;250.99
5068;KV2000000034;Kenco Logistic Services LLC;150.0
5069;KV2000000035;Ryder Supply Chain Solutions;0.0
5070;KV2000000036;Ryder Supply Chain Solutions;0.99
5071;KV2000000037;Americold;450.0
5072;KV2000000038;DHL Supply Chain;300.99
5073;KV2000000039;Kenco Logistic Services LLC;300.99
5074;KV2000000040;Kenco Logistic Services LLC;450.0
5075;KV2000000041;EODIS North America;300.0
5076;KV2000000042;Americold;350.0
5077;KV2000000043;EODIS North America;350.0
5078;KV2000000044;GXO Logistics;150.0
5079;KV2000000045;Lineage Logistics;200.0
5080;KV2000000046;Americold;0.99
5081;KV2000000047;Kenco Logistic Services LLC;150.0
5082;KV2000000048;Ryder Supply Chain Solutions;400.0
5083;KV2000000049;Lineage Logistics;450.99
5084;KV2000000050;FedEx Supply Chain;150.0
5085;KV2000000051;Americold;250.99
5086;KV2000000052;Kenco Logistic Services LLC;200.0
5087;KV2000000053;Kenco Logistic Services LLC;0.99
5088;KV2000000054;Americold;300.99
5089;KV2000000055;FedEx Supply Chain;450.99
5090;KV2000000056;Ryder Supply Chain Solutions;350.99
5091;KV2000000057;Ryder Supply Chain Solutions;200.99
5092;KV2000000058;FedEx Supply Chain;0.0
5093;KV2000000059;Lineage Logistics;150.99
5094;KV2000000060;DHL Supply Chain;250.99
5095;KV2000000061;Americold;300.0
5096;KV2000000062;GXO Logistics;50.0
5097;KV2000000063;Americold;400.99
5098;KV2000000064;Ryder Supply Chain Solutions;50.0
5099;KV2000000065;EODIS North America;0.99
5100;KV2000000066;Americold;150.99
5101;KV2000000067;Kenco Logistic Services LLC;50.0
5102;KV2000000068;Lineage Logistics;350.99
5103;KV2000000069;Americold;0.0
5104;KV2000000070;Ryder Supply Chain Solutions;350.0
5105;KV2000000071;Lineage Logistics;150.99
5106;KV2000000072;DHL Supply Chain;400.99
5107;KV2000000073;Americold;450.0
5108;KV2000000074;DHL Supply Chain;0.0
5109;KV2000000075;DHL Supply Chain;250.99
5110;KV2000000076;EODIS North America;350.0
5111;KV2000000077;Kenco Logistic Services LLC;100.99
5112;KV2000000078;EODIS North America;50.0
5113;KV2000000079;FedEx Supply Chain;350.99
5114;KV2000000080;GXO Logistics;50.99
5115;KV2000000081;Lineage Logistics;0.99
5116;KV2000000082;Kenco Logistic Services LLC;450.0
5117;KV2000000083;FedEx Supply Chain;150.0
5118;KV2000000084;EODIS North America;100.99
5119;KV2000000085;FedEx Supply Chain;100.99
5120;KV2000000086;Ryder Supply Chain Solutions;50.99
5121;KV2000000087;GXO Logistics;150.99
5122;KV2000000088;GXO Logistics;0.99
5123;KV2000000089;Ryder Supply Chain Solutions;150.99
5124;KV2000000090;Americold;400.99
5125;KV2000000091;FedEx Supply Chain;300.99
5126;KV2000000092;GXO Logistics;150.99
5127;KV2000000093;EODIS North America;100.99
5128;KV2000000094;Kenco Logistic Services LLC;150.99
5129;KV2000000095;DHL Supply Chain;450.99
5130;KV2000000096;EODIS North America;0.0
5131;KV2000000097;FedEx Supply Chain;100.99
5132;KV2000000098;FedEx Supply Chain;450.99
5133;KV2000000099;GXO Logistics;0.0
5134;KV2000000100;Americold;350.99
5135;KV2000000101;Americold;100.99
5136;KV2000000102;Lineage Logistics;150.0
5137;KV2000000103;Lineage Logistics;100.99
5138;KV2000000104;FedEx Supply Chain;450.99
5139;KV2000000105;DHL Supply Chain;450.0
5140;KV2000000106;FedEx Supply Chain;400.99
5141;KV2000000107;EODIS North America;400.99
5142;KV2000000108;DHL Supply Chain;400.0
5143;KV2000000109;DHL Supply Chain;0.0
5144;KV2000000110;EODIS North America;150.0
5145;KV2000000111;Ryder Supply Chain Solutions;450.99
5146;KV2000000112;Kenco Logistic Services LLC;350.0
5147;KV2000000113;EODIS North America;150.0
5148;KV2000000114;Americold;400.99
5149;KV2000000115;Lineage Logistics;50.99
5150;KV2000000116;Lineage Logistics;150.99
5151;KV2000000117;EODIS North America;350.99
5152;KV2000000118;Ryder Supply Chain Solutions;300.99
5153;KV2000000119;EODIS North America;400.0
5154;KV2000000120;Lineage Logistics;0.0
5155;KV2000000121;DHL Supply Chain;50.0
5156;KV2000000122;Ryder Supply Chain Solutions;250.0
5157;KV2000000123;Lineage Logistics;100.99
