serial_nr;guid
26721;0
21317;0
9083;0
9572;0
16837;0
36799;0
8798;0
31994;0
27566;0
33860;0
17917;0
13500;0
11463;0
32691;0
37430;0
7376;0
39954;0
17363;0
11768;0
48970;0
14325;0
8886;0
3470;0
16687;0
10597;0
32576;0
43430;0
24050;0
32848;0
303;0
20617;0
2824;0
39897;0
10615;0
19507;0
48932;0
27488;0
24957;0
46073;0
17900;0
4580;0
11710;0
39122;0
10931;0
27396;0
39631;0
6856;0
9335;0
18065;0
18039;0
12269;0
5159;0
1752;0
34131;0
33804;0
33154;0
5963;0
31056;0
45859;0
34362;0
35237;0
44115;0
37458;0
4396;0
36741;0
29468;0
34039;0
2123;0
24153;0
8526;0
17023;0
13746;0
44772;0
44994;0
37498;0
32682;0
46335;0
16388;0
45543;0
28601;0
18570;0
22318;0
26099;0
43429;0
46960;0
8574;0
12008;0
39053;0
36842;0
5668;0
12409;0
29158;0
2953;0
31574;0
13932;0
2997;0
39675;0
20336;0
17798;0
16545;0
12573;0
5520;0
3479;0
29602;0
23534;0
3551;0
11469;0
36527;0
49992;0
25638;0
7976;0
17567;0
47244;0
43762;0
39323;0
6075;0
34883;0
48070;0
32660;0
7059;0
39693;0
19048;0
34149;0
14273;0
37845;0
3374;0
11432;0
6069;0
14654;0
11647;0
2407;0
47660;0
4939;0
4304;0
28739;0
25163;0
8892;0
286;0
3865;0
45354;0
11447;0
44564;0
22736;0
32230;0
13169;0
32940;0
23978;0
16281;0
32095;0
16020;0
29372;0
22049;0
32650;0
3009;0
29023;0
18455;0
29092;0
30227;0
42286;0
38581;0
14354;0
34372;0
46580;0
49678;0
38792;0
48497;0
41337;0
1373;0
45590;0
19784;0
19039;0
43756;0
44223;0
49332;0
2241;0
16037;0
42047;0
36150;0
48488;0
5961;0
46432;0
38831;0
5200;0
8510;0
14490;0
24736;0
15986;0
41532;0
39182;0
29192;0
13629;0
40031;0
31175;0
18685;0
31934;0
33447;0
29563;0
4803;0
11816;0
7432;0
49035;0
32367;0
24668;0
29381;0
20961;0
2215;0
46200;0
47366;0
20962;0
40233;0
46992;0
8854;0
575;0
42420;0
6290;0
569;0
10054;0
38688;0
30544;0
12592;0
26946;0
5951;0
22700;0
16800;0
32454;0
38254;0
33444;0
1557;0
5506;0
21747;0
29780;0
32818;0
19003;0
46560;0
45907;0
126;0
40787;0
41103;0
46474;0
1219;0
44414;0
13716;0
7506;0
19442;0
6177;0
46446;0
48481;0
19816;0
39057;0
11262;0
29829;0
19413;0
255;0
27288;0
22110;0
30878;0
2418;0
49137;0
41412;0
3269;0
2063;0
48288;0
28044;0
1276;0
16518;0
31170;0
46841;0
34270;0
18695;0
11576;0
14027;0
47049;0
18090;0
41794;0
23540;0
18569;0
16118;0
31061;0
27581;0
115;0
9675;0
49760;0
26780;0
42860;0
14766;0
20067;0
43088;0
9305;0
25896;0
40514;0
20177;0
15493;0
22150;0
10923;0
598;0
15605;0
11960;0
37596;0
38295;0
17181;0
39946;0
34584;0
22222;0
24549;0
15970;0
17122;0
13202;0
7914;0
4846;0
47214;0
36702;0
38809;0
16409;0
28109;0
35756;0
23363;0
18148;0
48290;0
30980;0
25436;0
11952;0
29198;0
43933;0
7180;0
43290;0
5895;0
34832;0
3726;0
43519;0
640;0
43479;0
44870;0
25413;0
19273;0
39822;0
29754;0
1239;0
34750;0
7845;0
49097;0
36265;0
38056;0
6061;0
45467;0
36828;0
8669;0
48136;0
12865;0
46228;0
856;0
39310;0
19765;0
30332;0
35599;0
20520;0
5580;0
47669;0
30480;0
16116;0
17983;0
28339;0
12967;0
36646;0
49753;0
7252;0
6432;0
42868;0
18267;0
44243;0
775;0
16364;0
27761;0
37367;0
5867;0
23477;0
35277;0
2221;0
47655;0
16271;0
2868;0
41683;0
40886;0
29911;0
33436;0
9208;0
31384;0
48590;0
19349;0
33364;0
21617;0
25479;0
25477;0
743;0
19800;0
44750;0
39549;0
43283;0
10372;0
27796;0
50127;0
22005;0
17863;0
8777;0
10969;0
24942;0
21629;0
18929;0
48935;0
17764;0
45461;0
40383;0
36888;0
382;0
38676;0
15978;0
17874;0
31711;0
27208;0
42596;0
32913;0
28263;0
48595;0
32248;0
5836;0
22452;0
26697;0
26752;0
10745;0
27952;0
33207;0
26007;0
33086;0
45503;0
47590;0
33542;0
20124;0
558;0
24850;0
32740;0
34896;0
49863;0
2956;0
30022;0
20459;0
9328;0
39107;0
14805;0
31431;0
20625;0
45470;0
21470;0
7648;0
48421;0
33816;0
48664;0
24256;0
26915;0
45084;0
47986;0
27508;0
22823;0
27734;0
21137;0
20841;0
49341;0
56;0
34351;0
14312;0
718;0
23676;0
21658;0
46515;0
46666;0
23513;0
35355;0
12691;0
3157;0
7694;0
25093;0
11054;0
23014;0
8177;0
16419;0
5186;0
40073;0
22143;0
1266;0
47334;0
17277;0
18457;0
20957;0
34412;0
40348;0
7458;0
34067;0
35890;0
5240;0
43847;0
44724;0
26787;0
37628;0
26452;0
15390;0
6111;0
40107;0
18621;0
39786;0
36726;0
21138;0
38183;0
27016;0
48847;0
22311;0
47373;0
29593;0
11454;0
14973;0
29254;0
17081;0
909;0
16397;0
6292;0
37151;0
20586;0
14008;0
15376;0
34706;0
17882;0
1525;0
49042;0
44496;0
8074;0
4775;0
29795;0
47943;0
44828;0
37545;0
38641;0
19226;0
23419;0
42745;0
30839;0
