specification_id;kv2;supplier;type_cost
5001;KV2000000001;FedEx Supply Chain;400.0
5002;KV2000000002;FedEx Supply Chain;25.0
5003;KV2000000003;DHL Supply Chain;300.0
5004;KV2000000004;Ryder Supply Chain Solutions;175.99
5005;KV2000000005;Kenco Logistic Services LLC;100.0
5006;KV2000000006;Lineage Logistics;300.99
5007;KV2000000007;Americold;475.99
5008;KV2000000008;Lineage Logistics;50.99
5009;KV2000000009;DHL Supply Chain;375.0
5010;KV2000000010;EODIS North America;200.99
5011;KV2000000011;DHL Supply Chain;75.99
5012;KV2000000012;Lineage Logistics;325.0
5013;KV2000000013;Americold;200.0
5014;KV2000000014;FedEx Supply Chain;400.0
5015;KV2000000015;EODIS North America;200.0
5016;KV2000000016;Lineage Logistics;75.99
5017;KV2000000017;GXO Logistics;75.99
5018;KV2000000018;GXO Logistics;150.0
5019;KV2000000019;Lineage Logistics;225.0
5020;KV2000000020;FedEx Supply Chain;425.0
5021;KV2000000021;Ryder Supply Chain Solutions;350.0
5022;KV2000000022;Lineage Logistics;75.0
5023;KV2000000023;EODIS North America;150.99
5024;KV2000000024;FedEx Supply Chain;450.0
5025;KV2000000025;EODIS North America;350.0
5026;KV2000000026;Lineage Logistics;25.99
5027;KV2000000027;Ryder Supply Chain Solutions;400.0
5028;KV2000000028;Americold;300.0
5029;KV2000000029;Kenco Logistic Services LLC;425.0
5030;KV2000000030;Ryder Supply Chain Solutions;375.99
5031;KV2000000031;EODIS North America;225.0
5032;KV2000000032;Ryder Supply Chain Solutions;75.99
5033;KV2000000033;FedEx Supply Chain;125.99
5034;KV2000000034;DHL Supply Chain;325.0
5035;KV2000000035;EODIS North America;50.0
5036;KV2000000036;EODIS North America;50.0
5037;KV2000000037;DHL Supply Chain;375.99
5038;KV2000000038;Lineage Logistics;25.0
5039;KV2000000039;GXO Logistics;500.0
5040;KV2000000040;Lineage Logistics;175.99
5041;KV2000000041;Americold;300.99
5042;KV2000000042;Lineage Logistics;300.99
5043;KV2000000043;GXO Logistics;150.0
5044;KV2000000044;Ryder Supply Chain Solutions;375.99
5045;KV2000000045;DHL Supply Chain;25.0
5046;KV2000000046;EODIS North America;350.0
5047;KV2000000047;Americold;375.99
5048;KV2000000048;DHL Supply Chain;325.99
5049;KV2000000049;DHL Supply Chain;150.0
5050;KV2000000050;EODIS North America;225.0
5051;KV2000000051;Lineage Logistics;175.0
5052;KV2000000052;Kenco Logistic Services LLC;175.99
5053;KV2000000053;Lineage Logistics;325.0
5054;KV2000000054;FedEx Supply Chain;375.99
5055;KV2000000055;Kenco Logistic Services LLC;325.0
5056;KV2000000056;Americold;75.0
5057;KV2000000057;Ryder Supply Chain Solutions;225.0
5058;KV2000000058;Ryder Supply Chain Solutions;200.99
5059;KV2000000059;Kenco Logistic Services LLC;400.0
5060;KV2000000060;EODIS North America;250.99
5061;KV2000000061;GXO Logistics;375.99
5062;KV2000000062;Lineage Logistics;25.99
5063;KV2000000063;Ryder Supply Chain Solutions;75.99
5064;KV2000000064;DHL Supply Chain;300.99
5065;KV2000000065;Americold;150.99
5066;KV2000000066;FedEx Supply Chain;50.99
5067;KV2000000067;Ryder Supply Chain Solutions;225.99
5068;KV2000000068;Ryder Supply Chain Solutions;25.99
5069;KV2000000069;GXO Logistics;100.99
5070;KV2000000070;DHL Supply Chain;25.0
5071;KV2000000071;Kenco Logistic Services LLC;475.0
5072;KV2000000072;Ryder Supply Chain Solutions;50.99
5073;KV2000000073;EODIS North America;325.0
5074;KV2000000074;Kenco Logistic Services LLC;250.99
5075;KV2000000075;Ryder Supply Chain Solutions;100.0
5076;KV2000000076;DHL Supply Chain;300.0
5077;KV2000000077;EODIS North America;250.99
5078;KV2000000078;EODIS North America;50.99
5079;KV2000000079;Ryder Supply Chain Solutions;50.0
5080;KV2000000080;FedEx Supply Chain;425.0
5081;KV2000000081;FedEx Supply Chain;25.0
5082;KV2000000082;Kenco Logistic Services LLC;450.99
5083;KV2000000083;EODIS North America;425.0
5084;KV2000000084;Americold;125.99
5085;KV2000000085;GXO Logistics;200.99
5086;KV2000000086;FedEx Supply Chain;300.0
5087;KV2000000087;FedEx Supply Chain;175.0
5088;KV2000000088;Ryder Supply Chain Solutions;75.0
5089;KV2000000089;FedEx Supply Chain;300.99
5090;KV2000000090;Ryder Supply Chain Solutions;225.99
5091;KV2000000091;Kenco Logistic Services LLC;375.0
5092;KV2000000092;FedEx Supply Chain;175.0
5093;KV2000000093;DHL Supply Chain;375.0
5094;KV2000000094;Kenco Logistic Services LLC;400.0
5095;KV2000000095;Ryder Supply Chain Solutions;25.0
5096;KV2000000096;GXO Logistics;350.0
5097;KV2000000097;FedEx Supply Chain;350.0
5098;KV2000000098;Americold;450.99
5099;KV2000000099;DHL Supply Chain;350.99
5100;KV2000000100;Kenco Logistic Services LLC;425.0
5101;KV2000000101;GXO Logistics;100.99
5102;KV2000000102;FedEx Supply Chain;200.99
5103;KV2000000103;FedEx Supply Chain;400.99
5104;KV2000000104;Americold;75.0
5105;KV2000000105;Ryder Supply Chain Solutions;450.0
5106;KV2000000106;Ryder Supply Chain Solutions;475.99
5107;KV2000000107;Kenco Logistic Services LLC;400.0
5108;KV2000000108;EODIS North America;475.0
5109;KV2000000109;Americold;125.0
5110;KV2000000110;DHL Supply Chain;100.99
5111;KV2000000111;GXO Logistics;400.0
5112;KV2000000112;FedEx Supply Chain;225.99
5113;KV2000000113;EODIS North America;400.99
5114;KV2000000114;GXO Logistics;475.99
5115;KV2000000115;EODIS North America;225.99
5116;KV2000000116;DHL Supply Chain;200.0
5117;KV2000000117;Lineage Logistics;175.99
5118;KV2000000118;Americold;250.0
5119;KV2000000119;EODIS North America;50.0
5120;KV2000000120;Kenco Logistic Services LLC;200.0
5121;KV2000000121;Kenco Logistic Services LLC;25.0
5122;KV2000000122;GXO Logistics;25.0
5123;KV2000000123;GXO Logistics;400.0
5124;KV2000000124;Ryder Supply Chain Solutions;275.99
5125;KV2000000125;DHL Supply Chain;125.0
5126;KV2000000126;EODIS North America;75.0
5127;KV2000000127;Kenco Logistic Services LLC;175.99
5128;KV2000000128;Ryder Supply Chain Solutions;175.99
5129;KV2000000129;FedEx Supply Chain;375.0
5130;KV2000000130;Kenco Logistic Services LLC;400.0
